#id_parent	id	name	keys
0	1	Фантастика
8	805	Домашние животные	home_pets
8	806	Домоводство	home,home_all
8	807	Сделай сам	home_diy
8	808	Сад и огород	home_garden
8	809	Развлечения	home_entertain
8	810	Коллекционирование	home_collecting
8	811	Семейные отношения	family

0	9	Религия и духовность
9	900	Эзотерика	religion_esoterics
9	901	Религия	religion_rel
9	902	Христианство	religion_christianity
9	903	Православие	religion_orthodoxy
9	904	Самосовершенствование	religion_self
9	905	Буддизм	religion_budda
9	906	Иудаизм	religion_judaism
9	907	Астрология	astrology
9	908	Протестантизм	religion_protestantism
9	909	Индуизм	religion_hinduism
9	910	Католицизм	religion_catholicism
9	911	Язычество	religion_paganism
9	912	Ислам	religion_islam
9	913	Хиромантия	palmistry
9	914	Религиозная литература: прочее	religion,religion_all

0	10	Приключения
10	1000	Приключения: прочее	adventure,adv_all
10	1001	Исторические приключения	adv_history
10	1005	Морские приключения	adv_maritime
10	1006	Вестерн	adv_western
10	1007	Приключения про индейцев	adv_indian
10	1009	Авантюрный роман	adv_story
10	1010	Приключения в современном мире	adv_modern
10	1011	Рыцарский роман	tale_chivalry
10	1012	Приключения для детей и подростков	child_adv
10	1013	Природа и животные	adv_animal
10	1014	Путешествия и география	adv_geo

0	11	Прочее
11	1100	Газеты и журналы	periodic
11	1101	Недописанное	unfinished
11	1102	Фанфик	fanfiction
11	1104	Кино	cine
11	1105	Партитуры	notes
11	1108	Сетевая литература	network_literature
11	1109	Альтернативные науки и научные теории	sci_theories
11	1110	Диафильмы	diafilm
11	1111	Комиксы	comics
11	1112	Неотсортированное	other,other_all
11	1113	Машинный перевод	computer_translation
11	1114	Любительский перевод	fan_translation

0	12	Юмор
12	1201	Юмористическая проза	humor_prose
12	1202	Юмор: прочее	humor,humor_all
12	1203	Комедия	comedy
12	1204	Анекдоты	humor_anecdote
12	1205	Юмористические стихи	humor_verse
12	1206	Сатира	humor_satire

0	13	Поэзия
13	1300	Поэзия: прочее	poetry,poetry_all
13	1303	Лирика	lyrics
13	1304	в стихах	in_verse
13	1305	Эпическая поэзия	epic_poetry
13	1306	Басни	fable
13	1307	Песенная поэзия	song_poetry
13	1308	Палиндромы	palindromes
13	1309	Экспериментальная поэзия	experimental_poetry
13	1310	Верлибры	vers_libre
13	1311	Визуальная поэзия	visual_poetry
13	1312	Поэзия Востока	poetry_east
13	1313	Современная поэзия	poetry_modern
13	1314	Современная русская поэзия	poetry_rus_modern
13	1315	Современная зарубежная поэзия	poetry_for_modern
13	1316	Поэма, эпическая поэзия	poem
13	1318	Классическая поэзия	poetry_classical
13	1319	Классическая зарубежная поэзия	poetry_for_classical

0	14	Справочная литература
14	1400	Энциклопедии	ref_encyc
14	1401	Справочники	ref_ref
14	1402	Руководства	ref_guide
14	1403	Искусство и Дизайн	design
14	1404	Справочная литература	reference,ref_all
14	1405	Словари	ref_dict
14	1406	Путеводители	geo_guides

0	15	Техника
15	1501	Радиоэлектроника	sci_radio
15	1502	Транспорт и авиация	sci_transport
15	1503	Строительство и сопромат	sci_build
15	1504	Автомобили и ПДД	auto_regulations
15	1505	Архитектура	architecture_book
15	1506	Металлургия	sci_metal
15	1507	История техники	equ_history
15	1508	Автодело	auto_business

0	16	Военное дело
16	1602	Военная техника и вооружение	military_weapon
16	1604	Боевые искусства	military_arts
16	1605	Cпецслужбы	military_special
16	1606	Военное дело: прочее	military,military_all

0	17	Компьютеры и Интернет
17	1700	Околокомпьютерная литература	computers,comp_all
17	1701	Программирование	comp_programming
17	1702	ОС и Сети	comp_osnet
17	1703	Программы	comp_soft
17	1704	Аппаратное обеспечение	comp_hard
17	1705	Интернет	comp_www
17	1706	Базы данных	comp_db
17	1707	Цифровая обработка сигналов	comp_dsp
17	1708	Учебные пособия, самоучители	tbg_computers

0	18	Драматургия
18	1800	Драматургия: прочее	dramaturgy,dramaturgy_all
18	1802	Драма	drama
18	1803	Трагедия	tragedy
18	1804	Киносценарии	screenplays
18	1805	Сценарии	scenarios
18	1806	Водевиль	vaudeville
18	1807	Мистерия	mystery
18	1808	Античная драма	drama_antique

0	19	Старинное
19	1900	Мифы. Легенды. Эпос	antique_myths
19	1901	Античная литература	antique_ant
19	1902	Древневосточная литература	antique_east
19	1903	Древнеевропейская литература	antique_european
19	1904	Старинная литература: прочее	antique,antique_all
19	1905	Древнерусская литература	antique_russian
19	1906	Средневековая классическая проза	foreign_antique
19	1907	Античная драма	drama_antique

0	20	Деловая литература
20	2000	О бизнесе популярно	popular_business
20	2001	Маркетинг, PR, реклама	marketing
20	2002	Управление, подбор персонала	management
20	2003	Экономика	economics,economics_all
20	2004	Ценные бумаги, инвестиции	stock
20	2005	Бухучет и аудит	accounting
20	2006	Личные финансы	personal_finance
20	2007	Поиск работы, карьера	job_hunting
20	2008	Малый бизнес	small_business
20	2009	Корпоративная культура	org_behavior
20	2010	Банковское дело	banking
20	2011	Делопроизводство	paper_work
20	2012	Отраслевые издания	industries
20	2013	Недвижимость	real_estate
20	2014	Внешняя торговля	global_economy
20	2015	Торговля	trade
20	2016	Деловая литература	economics_ref

0	21	Фольклор
21	2100	Народные сказки	folk_tale
21	2102	Фольклор: прочее	folklore,folklore_all
21	2104	Былины	epic
21	2105	Пословицы, поговорки	proverbs
21	2106	Народные песни	folk_songs
21	2107	Частушки, прибаутки, потешки	limerick
21	2108	Загадки	riddles
21	2109	Современная сказка	modern_tale

0	22	Культура и искусство
22	2200	Искусствоведение	art_criticism
22	2201	Живопись, альбомы, иллюстрированные каталоги	painting
22	2202	Мировая художественная культура	art_world_culture
22	2203	Изобразительное искусство, фотография	visual_arts
22	2204	Театр	theatre
22	2205	Музыка	music
22	2206	Культура и искусство: прочее	culture_all
